,Ticker,Name,Sector,Industry,Headquarters,Business Summary
10,3988.HK,Bank of China Limited,Financial Services,Banks - Diversified,"Beijing, China","Bank of China Limited, together with its subsidiaries, provides various banking and financial services in Chinese Mainland, Hong Kong, Macao, Taiwan, and internationally. It operates through six segments: Corporate Banking, Personal Banking, Treasury Operations, Investment Banking, Insurance, and Other. The Corporate Banking segment provides current accounts, deposits, overdrafts, loans, payments and settlements, trade-related products, and other credit facilities, as well as foreign currency, derivative, and wealth management products for corporate customers, government authorities, and financial institutions. The Personal Banking segment offers savings deposits, personal loans, credit cards and debit cards, payments and settlements, wealth management, and funds and insurance agency services to retail customers. The Treasury Operations segment offers foreign exchange transactions, customer-based interest rate, and foreign exchange derivative transactions, as well as money market transactions, proprietary trading, and asset and liability management. The Investment Banking segment provides debt and equity underwriting and financial advisory, sale and trading of securities, stock brokerage, investment research, asset management services, and private equity investment services. The Insurance segment provides underwriting services for general and life insurance business, and insurance agency services. In addition, the company operates debt-to-equity swaps and other supporting, and aircraft and financial leasing business. Bank of China Limited was founded in 1912 and is headquartered in Beijing, China."
11,0002.HK,CLP HOLDINGS,Utilities,Utilities - Regulated Electric,"Kowloon, Hong Kong","CLP Holdings Limited, an investment holding company, engages in the generation, retail, transmission, and distribution of electricity in Hong Kong, Mainland China, India Thailand, Taiwan, and Australia. It generates electricity through coal, gas, nuclear, and renewable resources, such as wind, hydro, and solar. The company is also involved in the provision of pumped storage services, and energy and infrastructure solutions; property investment activities; and retail of electricity and gas. CLP Holdings Limited was founded in 1901 and is based in Kowloon, Hong Kong."
12,0003.HK,HK & CHINA GAS,Utilities,Utilities - Regulated Gas,"North Point, Hong Kong","The Hong Kong and China Gas Company Limited, together with its subsidiaries, produces, distributes, and markets gas, water supply and energy services in Hong Kong and Mainland China. It is involved in the provision of smart energy, piped city-gas, upstream and midstream projects, water supply and wastewater treatment, urban waste resource utilization, and natural gas filling stations, as well as new energy exploration and utilization activities. The company develops new energy projects that are low in emissions and pollution, which includes clean coal chemical business, liquefaction of methane, etc., as well as supplies town gas. It also provides network connectivity, data center, and ICT services, as well as engineering, procurement, and construction services. In addition, the company offers consultancy and engineering contractor services, including utilities installation, infrastructure construction, and civil and building services engineering for public and private projects; and designs and manufactures gas meters and metering systems. Further, it is involved in water supply, and domestic sewage and industrial wastewater treatment activities. Additionally, the company manufactures polyethylene piping and fittings; as well as engages in the software development, solution implementation, and systems integration activities. The Hong Kong and China Gas Company Limited was founded in 1862 and is headquartered in North Point, Hong Kong."
13,0006.HK,POWER ASSETS,Utilities,Utilities - Independent Power Producers,"Central, Hong Kong","Power Assets Holdings Limited, an investment holding company, engages in the generation, transmission, and distribution of electricity in Hong Kong, the United Kingdom, Australia, Mainland China, and internationally. It generates energy from thermal, renewable energy, and waste sources. The company also transmits and distributes oil and gas; and provides trust administration and management services. It has a generation capacity of 879 MW renewable energy/energy from waste, 5,262 MW gas fired, and 3,567 MW coal/oil fired; and operates 114,900 km of gas/oil pipeline, as well as 388,200 km of power network serving 19,790,000 customers. The company was formerly known as Hongkong Electric Holdings Limited and changed its name to Power Assets Holdings Limited in February 2011. Power Assets Holdings Limited was founded in 1889 and is based in Central, Hong Kong."
14,0836.HK,CHINA RES POWER,Utilities,Utilities - Independent Power Producers,"Wan Chai, Hong Kong","China Resources Power Holdings Company Limited, an investment holding company, invests in, develops, operates, and manages power plants and coal mines in the People's Republic of China. The company operates in two segments, Thermal Power and Renewable Energy. It operates and manages coal- and gas-fired power plants, wind farms, photovoltaic power plants, hydro-electric power plants, and other clean and renewable energy projects. As of December 31, 2023, the company had 47 coal-fired power plants, 183 wind farms, 123 photovoltaic power plants, 28 hydroelectric plants, and 5 gas-fired plants with total attributable operational generation capacity of 59,764M MW. It also engages in coal mining and marketing activities; and undertakes combined generation of heat and power, coal-electricity integration, and other projects. In addition, the company is involved in the distribution of energy, power sale, intelligent energy, coal mining, and other areas; and distribution network construction and operation, distributed energy resource, and other businesses. The company was incorporated in 2001 and is based in Wan Chai, Hong Kong. China Resources Power Holdings Company Limited operates as a subsidiary of CRH (Power) Limited."
15,1038.HK,CKI HOLDINGS,Utilities,Utilities - Regulated Electric,"Central, Hong Kong","CK Infrastructure Holdings Limited, an infrastructure company, develops, invests in, operates, and commercializes infrastructure businesses in Hong Kong, Mainland China, the United Kingdom, Continental Europe, Australia, New Zealand, Canada, and the United States. The company invests in energy infrastructure, transportation infrastructure, water infrastructure, waste management, waste-to-energy, household infrastructure, and infrastructure related businesses. It is also involved in the production and laying of asphalt; manufacture, distribution, and sale of cement; and property investment and project management activities. The company was formerly known as Cheung Kong Infrastructure Holdings Limited and changed its name to CK Infrastructure Holdings Limited in May 2017. The company was incorporated in 1996 and is headquartered in Central, Hong Kong. CK Infrastructure Holdings Limited is a subsidiary of CK Hutchison Holdings Limited."
16,2688.HK,ENN Energy Holdings Limited,Utilities,Utilities - Regulated Gas,"Langfang, China","ENN Energy Holdings Limited, an investment holding company, engages in the investment, construction, operation, and management of gas pipeline infrastructure in the People's Republic of China. It operates through Retail Gas Sales Business, Integrated Energy Business, Wholesale of Gas, Construction and Installation, and Value Added Business segments. The company also distributes and sells piped gas, liquefied natural gas (LNG), and other multi-energy products; operates vehicle gas refuelling stations; and provides services related to low-carbon integrated solutions. In addition, it is involved in the integrated energy business; retail of gas pipelines, and related materials and equipment; transportation of oil products and gas; and sourcing and sell of LNG, as well as wholesale and retail of LNG, CNG, gas equipment, appliances, and others; and provision of financial services. The company serves residential, commercial, and industrial customers. ENN Energy Holdings Limited was formerly known as XinAo Gas Holdings Limited and changed its name to ENN Energy Holdings Limited in September 2010. The company was founded in 1989 and is headquartered in Langfang, China."
17,0012.HK,HENDERSON LAND,Real Estate,Real Estate - Diversified,"Central, Hong Kong","Henderson Land Development Company Limited, an investment holding company, engages in the property development and investment activities in Hong Kong and Mainland China. The company operates through Property Development, Property Leasing, Department Stores and Supermarket-Cum-Stores Operations, Hotel Room Operation, Other Businesses, and Utility and Energy segments. The Property Development segment develops and sells real estate properties. Its property portfolio primarily includes offices, shopping arcades, shopping malls, commercial complexes, and residential properties. The Property Leasing segment leases properties. The Department Stores and Supermarket-Cum-Stores Operations segment operates and manages department stores and supermarket-cum-stores. The Hotel Room Operation segment operates hotel properties. The Other Businesses segment operates and manages hotels; provides construction, finance, project management, property management, agency, and cleaning and security guard services; and trades in building materials. It also engages in food and beverage, and travel operations. The Utility and Energy segment is involved in production, distribution, and marketing gas; and water supply and environmentally friendly energy businesses. Henderson Land Development Company Limited was founded in 1976 and is based in Central, Hong Kong. Henderson Land Development Company Limited is a subsidiary of Henderson Development Limited."
18,0016.HK,SHK PPT,Real Estate,Real Estate - Development,"Wan Chai, Hong Kong","Sun Hung Kai Properties Limited develops and invests in properties for sale and rent in Hong Kong, Mainland China, and internationally. It develops, sells, and leases properties, including residential estates, offices, shopping malls, industrial offices, and hotels and serviced suites. The company also provides property management services; construction-related services, including landscaping, electrical and mechanical installation, production and installation of wooden doors, and construction plant and machinery leasing; and insurance products to individuals and businesses comprising householder's comprehensive, fire, employees' compensation, travel, personal accident, motor vehicles, contractors' all risks, third party liability, and property all risks. In addition, the company offers voice, multimedia, and mobile broadband services; and data center services, including infrastructure, facility management, server co-location, and other value-added services. Further, it manages car parks, tunnels, and toll roads; facilities management and value-added services; general insurance; offers transport facilities for private and the public sectors; operates an expressway; provides public bus services; and offers airport freight forwarding and aviation support services. Additionally, the company provides container handling and storage, container freight station, and other port-related services; operates department stores and supermarkets; and offers mortgage and other loan financing facilities, as well as offers asset and project management, architectural and engineering, cleaning, and secretarial services. It also engages in the club and road management business. The company was formerly known as Sun Hung Kai (Holdings) Limited and changed its name to Sun Hung Kai Properties Limited in March 1973. The company was incorporated in 1972 and is based in Wan Chai, Hong Kong."
19,0101.HK,HANG LUNG PPT,Real Estate,Real Estate Services,"Central, Hong Kong","Hang Lung Properties Limited, an investment holding company, engages in the property investment, development, and management activities in Hong Kong and Mainland China. It operates through Property Leasing, Property Sales and Hotel segments. The company is involved in the development, sale, and leasing of properties. Its investment properties portfolio includes shopping malls, office premises, residential, retail, serviced apartment, hotel, and car parking properties, as well as industrial premises. The company also engages in the apartment operating and management, project management, car park management, and property agency activities. In addition, it provides management and financial services. The company was incorporated in 1949 and is headquartered in Central, Hong Kong. Hang Lung Properties Limited operates as a subsidiary of Hang Lung Group Limited."
20,0688.HK,CHINA OVERSEAS,Real Estate,Real Estate - Development,"Central, Hong Kong","China Overseas Land & Investment Limited, an investment holding company, engages in the property development and investment, and other operations in the People's Republic of China and the United Kingdom. The company operates through Property Development, Property Investment, and Other Operations segments. It is involved in the investment, development, and rental of residential and commercial properties; issuance of guaranteed notes and corporate bonds; and hotel operation activities. The company provides construction and building design consultancy services. In addition, it engages in the investment and financing, land consolidation, regional planning, engineering construction, industrial import, commercial operation, and property management businesses. Further, the company offers urban services, including office buildings, flexible working space, shopping malls, star-rated hotels, long-term rental apartments, logistics parks, and architectural design and construction. The company was incorporated in 1979 and is based in Central, Hong Kong. China Overseas Land & Investment Limited is a subsidiary of China Overseas Holdings Limited."
21,0823.HK,LINK REIT,Real Estate,REIT - Retail,"Kowloon City, Hong Kong","Link Real Estate Investment Trust, managed by Link Asset Management Limited, is the largest REIT in Asia, and a leading real estate investor and asset manager in the world. Listed in 2005 as the first REIT in Hong Kong, Link has been 100% held by public and institutional investors, and has no controlling unitholder. We invest and manage a diversified portfolio comprising retail facilities, car parks, offices and logistics centres. With our home in Hong Kong, our properties located in China's Beijing, Greater Bay Area (Hong Kong, Guangzhou and Shenzhen), and Yangtze River Delta centred around Shanghai, the UK's London and Australia's Sydney and Melbourne. We seek to extend our portfolio growth trajectory and grasp expansion opportunities in different markets in pursuit of being a world class real estate investor and manager. Asset management, portfolio management and capital management are three pillars of our management. We are committed to integrating Environment, Social and Governance (ESG) considerations into our strategy and daily operations."
22,0960.HK,LONGFOR GROUP,Real Estate,Real Estate - Development,"Beijing, China","Longfor Group Holdings Limited, an investment holding company, engages in the property development, investment, and management businesses in the People's Republic of China. It operates through three segments: Property Development, Investment Property Operation, and Services and Others. The Property Development segment develops and sells office and commercial premises, and residential properties. The Investment Property Operation segment leases investment properties, including shopping malls and rental housing. The Services and Others segment provides property management and related services, as well as hotel operation and other services. It also offers commercial investment and smart construction services. The company was formerly known as Longfor Properties Co. Ltd. and changed its name to Longfor Group Holdings Limited in June 2018. Longfor Group Holdings Limited was founded in 1993 and is headquartered in Beijing, the People's Republic of China."
23,1109.HK,CHINA RES LAND,Real Estate,Real Estate - Development,"Wan Chai, Hong Kong","China Resources Land Limited, an investment holding company, engages in the investment, development, management, and sale of properties in the People's Republic of China. The company operates through four segments: Development Property Business, Investment Property Business, Asset-light Management Business, and Eco-system Elementary Business. It engages in development and sale of residential properties, offices, and commercial premises; and leases investment properties comprising self-developed and under sublease, such as shopping malls, offices, hotels, apartments, industrial properties, etc. In addition, the company is involved in the commercial operation and property management, as well as building operation, and construction and operation activities. The company was formerly known as China Resources (Beijing) Land Co., Ltd. and changed its name to China Resources Land Limited in 2001. China Resources Land Limited was founded in 1994 and is headquartered in Wan Chai, Hong Kong. China Resources Land Limited operates as a subsidiary of CRH (Land) Limited."
24,1113.HK,CK ASSET,Real Estate,Real Estate - Development,"Central, Hong Kong","CK Asset Holdings Limited operates as a property developer in Hong Kong, the Mainland, Singapore, the United Kingdom, continental Europe, Australia, and Canada. The company is involved in the leasing of office, industrial, retail, residential, and other properties; property investment and development activities; and pub, and hotel and serviced suite operation businesses. It also provides property and project management, finance, and property agency services, as well as invests in infrastructure and utility asset operation. The company was formerly known as Cheung Kong Property Holdings Limited and changed its name to CK Asset Holdings Limited in September 2017. CK Asset Holdings Limited was incorporated in 2015 and is headquartered in Central, Hong Kong."
25,1209.HK,CHINA RES MIXC,Real Estate,Real Estate Services,"Shenzhen, China","China Resources Mixc Lifestyle Services Limited, an investment holding company, provides property management and commercial operational services in the People's Republic of China. It operates in two segments, Residential Property Management Services; and Commercial Operational and Property Management Services. The company offers management services for residential properties and other non-commercial properties comprising public facilities, such as stadiums, parks, and industrial parks, as well as various services to families and residents. It also provides property management services, including security, cleaning, greening, repair, and maintenance services; value-added services, which includes consultancy, preliminary preparation, and pre-delivery marketing services; and community value-added services, such as community living, brokerage, and asset services. In addition, the company offers commercial operational services, which includes pre-opening and operation management services; commercial subleasing services comprising leasing of shopping malls from their owners and sublease to tenants, such as retail stores and supermarkets; and tenant sourcing, asset management and operational services, opening preparation, and other services. It serves property developers, property owners, property owners' associations, and residents. The company was founded in 1994 and is headquartered in Shenzhen, the People's Republic of China. China Resources Mixc Lifestyle Services Limited is a subsidiary of China Resources Land Limited."
26,1997.HK,Wharf Real Estate Investment Company Limited,Real Estate,Real Estate Services,"Kowloon, Hong Kong","Wharf Real Estate Investment Company Limited, an investment holding company, invests in, develops, owns, and operates properties and hotels in Hong Kong, Mainland China, and Singapore. The company operates through four segments: Investment Properties, Development Properties, Hotel, and Investment segments. It primarily operates Harbour City, a commercial space comprising offices, retail shops, serviced apartments, hotels and clubs, and car parking spaces; and Times Square, a retail space that consists of office and car parking spaces. The company also operates Wheelock House and Crawford House commercial properties; The Murray, a luxury hotel that consists of 336 rooms; Plaza Hollywood, a shopping mall with retail outlets, restaurants, and a cinema multiplex; The Star Ferry, which provides two inner harbour ferry services, including Tsim Sha Tsui and Wan Chai; and Wheelock Place and Scotts Square mall. In addition, it offers leasing, finance, and management services; and engages in property investment. The company was founded in 1886 and is headquartered in Kowloon, Hong Kong."
27,0001.HK,CK Hutchison Holdings Limited,Industrials,Conglomerates,"Central, Hong Kong","CK Hutchison Holdings Limited, an investment holding company, primarily operates in ports and related services, retail, infrastructure, and telecommunications businesses in Hong Kong and internationally. The company operates through four segments: Ports and Related Services, Retail, Infrastructure, and Telecommunications. It invests in, develops, and operates ports, which operate 293 berths in 53 ports spanning 24 countries; and provides logistics and transportation-related services, such as cruise ship terminals, distribution centers, rail services, and ship repair facilities. The company also operates retail brands with stores that offer personal care, health and beauty products, food and fine wines, consumer electronics, and electrical appliances, as well as operates supermarkets under Watsons, PARKnSHOP, and FORTRESS brands; and manufactures and distributes bottled water and other beverages under the Watsons Water and Mr. Juicy brands. In addition, it invests in energy infrastructure, transportation infrastructure, water infrastructure, waste management, waste-to-energy, household infrastructure, and other infrastructure related businesses. Further, the company provides mobile telecommunications and data services, as well as operates as an integrated energy company. Additionally, it researches, develops, manufactures, commercializes, markets, and sells nutraceuticals, pharmaceuticals, and agriculture-related products; provides marine construction and ship repair yard, general engineering, and tug operations, water supply and sewerage, electricity generation and distribution, gas distribution, and aircraft maintenance services; and leases rolling stocks. The company was founded in 1828 and is based in Central, Hong Kong."
28,0027.HK,GALAXY ENT,Consumer Cyclical,Resorts & Casinos,"Central, Hong Kong","Galaxy Entertainment Group Limited, an investment holding company, engages in the gaming and entertainment businesses in Macau, Hong Kong, and Mainland China. It operates through Gaming and Entertainment, and Construction Materials segments. The company operates casino games of chance or games of other forms; and provides hospitality and related services. It develops and operates Galaxy Macau, an integrated resort; Broadway Macau, a landmark entertainment and food street destination; StarWorld Macau, a five-star hotel located in the Macau Peninsula; and City Club casinos. The company also manufactures, sells, and distributes construction materials, including concrete pipes and piles, asphalt, ready-mixed concrete, cement, bricks, concrete products, aggregates, and slag; provides property investment, handling, quality assurance, project management, cross-border transportation, road marking, and security services; and imports, exports, trades in, and transports construction materials. In addition, it is involved in aircraft and vessel holding activities, truck leasing, and provision of road base and bituminous materials. The company was incorporated in 1987 and is based in Central, Hong Kong."
29,0066.HK,MTR CORPORATION,Industrials,Railroads,"Kowloon Bay, Hong Kong","MTR Corporation Limited designs, constructs, operates, maintains, and invests in railways in Hong Kong, Australia, Mainland China, Macao, Sweden, and the United Kingdom. It operates through Hong Kong Transport Operations; Hong Kong Station Commercial Businesses; Hong Kong Property Rental and Management Businesses; Hong Kong Property Development; Mainland China and International Railway, Property Rental and Management Businesses; Mainland China Property Development; and Other Businesses segments. The company offers domestic and cross-boundary railway services, airport express, and a light rail and bus feeder system. It operates rail network; and stations. The company also provides intercity railway services; leases advertising, office, retail, and car parking spaces at railway stations; offers telecommunication and bandwidth services in railway premises; provides estate management services; and invests in, develops, manages, and leases properties, including shopping malls and offices. In addition, it is involved in the construction, operation, and maintenance of mass transit railway systems. Further, it operates Octopus, a contactless smartcard common payment system; and provides railway consultancy and project management services, as well as offers railway management, engineering, and technology training services. Additionally, the company administers the operation of MTR academy; and provides station management, financing, technical support, and mobile telecommunication network and related services. It also operates cable car system and a theme village. The company was founded in 1975 and is headquartered in Kowloon Bay, Hong Kong."
30,0175.HK,GEELY AUTO,Consumer Cyclical,Auto Manufacturers,"Wan Chai, Hong Kong","Geely Automobile Holdings Limited, an investment holding company, operates as an automobile manufacturer primarily in the People's Republic of China. The company engages in the research and development, production, marketing, and sale of passenger vehicles, automobile parts, and related automobile components, as well as provision of related after-sales and technical services. It also offers sedans, wagons, sport utility cars, and electric vehicles under the Geely, Geometry, and ZEEKR brands; vehicles design, technology consulting, general logistics, packing, and storage services; researches and develops technology; procures mechanical and electrical equipment, and automobile parts and components; and manufactures and sells vehicle engines. In addition, the company provides automotive design, software systems development, modular development, virtual engineering of intelligent electric vehicles, and mobility technology solutions; knock down kits; and engages in the preparation and construction of engine manufactory projects. It operates in Malaysia, Eastern Europe, the Middle East, Northern Europe, the Philippines, Central and South America, Africa, and internationally. Geely Automobile Holdings Limited is headquartered in Wan Chai, Hong Kong."
